Volcano Type,Main Category,Description,Wikipedia Link
Tuff rings,Maars / Tuff ring,"Ring‐shaped volcanic features formed by phreatomagmatic explosions producing broad, shallow craters.",https://en.wikipedia.org/wiki/Tuff_ring
Fumarole field,Other / Unknown,"An area where volcanic gases and steam escape through surface vents, without major lava flows.",https://en.wikipedia.org/wiki/Fumarole
Hydrothermal field,Other / Unknown,"A zone of geothermal activity (hot springs, steam vents) often linked with volcanic systems.",https://en.wikipedia.org/wiki/Hydrothermal_vent
Mud volcano,Other / Unknown,"A surface feature where mud, water and gas vent from the subsurface; not always magmatic in origin.",https://en.wikipedia.org/wiki/Mud_volcano
Not Volcanic,Other / Unknown,Indicates the feature is classified as non‐volcanic (not a true volcanic edifice).,https://en.wikipedia.org/wiki/Volcano
Unknown,Other / Unknown,Indicates the volcano type is not determined or classified.,https://en.wikipedia.org/wiki/Volcano
Shield,Shield Volcano,"Broad, gently‐sloping volcano built by low‐viscosity lava flows over long periods.",https://en.wikipedia.org/wiki/Shield_volcano
Shield volcano,Shield Volcano,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.,https://en.wikipedia.org/wiki/Shield_volcano
Shield volcanoes,Shield Volcano,"Plural of shield volcano – multiple broad volcanoes, often in hotspot settings.",https://en.wikipedia.org/wiki/Shield_volcano
Pyroclastic shield,Shield Volcano,A rare type of shield volcano built mostly from pyroclastic flows rather than fluid lava.,https://en.wikipedia.org/wiki/Pyroclastic_shield
Complex volcano,Stratovolcano,"A volcano with multiple vents and edifice structures, showing mixed behaviours over time.",https://en.wikipedia.org/wiki/Volcano
Compound volcano,Stratovolcano,A volcanic edifice made up of two or more overlapping volcanoes or vents.,https://en.wikipedia.org/wiki/Volcano
Somma volcano,Stratovolcano,A stratovolcano whose summit is partially filled by a younger cone – often has a nested crater.,https://en.wikipedia.org/wiki/Somma_volcano
Stratovolcano,Stratovolcano,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash.",https://en.wikipedia.org/wiki/Stratovolcano
Stratovolcano(es),Stratovolcano,Alternate naming for stratovolcano – a steep-sided composite volcano.,https://en.wikipedia.org/wiki/Stratovolcano
Stratovolcanoes,Stratovolcano,Plural form of stratovolcano.,https://en.wikipedia.org/wiki/Stratovolcano
Subglacial volcano,Subglacial,"A volcano erupted beneath ice or a glacier, creating unique geomorphology.",https://en.wikipedia.org/wiki/Subglacial_volcano
Submarine,Submarine Volcano,A volcano whose edifice is wholly or partly beneath the sea surface.,https://en.wikipedia.org/wiki/Submarine_volcano
Submarine volcano,Submarine Volcano,Same as 'Submarine' – underwater/partly underwater volcanic edifice.,https://en.wikipedia.org/wiki/Submarine_volcano
Submarine volcano?,Submarine Volcano,Probably indicates uncertainty whether the feature is submarine; essentially underwater volcano.,https://en.wikipedia.org/wiki/Submarine_volcano
Submarine volcanoes,Submarine Volcano,Plural of submarine volcano – many underwater volcanoes.,https://en.wikipedia.org/wiki/Submarine_volcano
